sepal length,sepal width,petal length,petal width,label
0.5480197,-1.6612467,0.3707985,0.15074863,1
2.1920788,-0.9576598,1.7969465,1.4907364,2
1.0177509,0.21498485,0.3707985,0.2847474,1
-0.8611738,1.8566874,-1.2835332,-1.1892391,0
-0.39144266,-1.1921887,0.14261481,0.15074863,1
0.19572133,-0.7231309,0.77011997,0.5527449,1
1.1351837,-0.019544078,0.99830365,1.2227389,2
0.4305869,-0.25407302,0.31375256,0.15074863,1
-0.5088754,0.91857165,-1.2835332,-1.0552404,0
1.2526165,0.4495138,1.1123955,1.4907364,2
-0.74374104,1.1531006,-1.2835332,-1.3232379,0
-0.62630826,1.6221584,-1.2835332,-1.3232379,0
0.66545254,-0.25407302,0.31375256,0.15074863,1
-0.97860664,1.1531006,-1.2264873,-0.7872428,0
-0.039144266,-0.48860195,0.77011997,1.6247351,2
-0.039144266,-0.7231309,0.77011997,0.9547413,2
