sepal length,sepal width,petal length,petal width,label
-0.039144266,-0.7231309,0.77011997,0.9547413,2
0.19572133,-1.8957756,0.713074,0.41874617,2
1.0177509,0.21498485,0.3707985,0.2847474,1
0.5480197,-1.1921887,0.6560281,0.41874617,1
0.5480197,-1.6612467,0.3707985,0.15074863,1
-0.97860664,1.1531006,-1.3976251,-1.1892391,0
-1.0960394,-0.019544078,-1.3405792,-1.3232379,0
-0.5088754,2.0912163,-1.3976251,-1.0552404,0
-1.0960394,1.3876295,-1.3405792,-1.4572366,0
-0.97860664,1.1531006,-1.2264873,-0.7872428,0
-1.8006362,-0.019544078,-1.511717,-1.4572366,0
-0.039144266,-0.48860195,0.77011997,1.6247351,2
-0.8611738,-1.1921887,-0.4278444,-0.11724893,1
-0.5088754,2.0912163,-1.1694415,-1.0552404,0
0.5480197,-0.25407302,1.0553496,0.8207425,2
0.7828853,-0.48860195,0.48489034,0.41874617,1
